ids,instructions,Verbs
d68e7dfd4a,"Roast, skin side down, in hot pan until an instant-read thermometer inserted diagonally into center registers 125F, 20 to 25 minutes.",roast
d68e7dfd4a,Turn on broiler.,turn on
d68e7dfd4a,Turn duck skin side up.,turn
d68e7dfd4a,"Broil 4 to 6 inches from heat until golden brown, about 2 minutes.",broil
d68e7dfd4a,Transfer duck to a cutting board and let rest (skin side up) 10 minutes.,"transfer,rest"
d68e7dfd4a,"While duck rests, pour off all but 1 tablespoon fat from pan, then add shallots and garlic and saue over medium-high heat until golden brown, about 2 minutes.","rests,pour off,add"
d68e7dfd4a,"Add sugar and cook, stirring, until dissolved.","add,stirring"
d68e7dfd4a,"Stir in vinegar, scraping up brown bits.","stir,scraping up"
d68e7dfd4a,"add, simmer","add,bring to"
d68e7dfd4a,Stir in half of raspberries.,stir
d68e7dfd4a,"Force sauce through a fine-mesh sieve into a small saucepan, discarding solids.","force,discarding"
d68e7dfd4a,Skim off excess fat.,skim off
d68e7dfd4a,"Over low heat, swirl in butter.",swirl
d68e7dfd4a,Remove from heat and add remaining raspberries.,"remove,add"
d68e7dfd4a,Slice duck and serve with sauce.,"slice,serve"
2104d65757,Cover the beans and peas with cold water and leave to soak overnight.,"cover,leave"
2104d65757,"The next day, drain, place in a pan and cover with water.","drain,place,cover"
2104d65757,Bring to the boil and boil for 10 minutes.,"bring,boil"
2104d65757,Drain and reserve.,"drain,reserve"
2104d65757,Preheat the slow cooker on high.,preheat
2104d65757,"Heat the oil in a frying pan and saute the onion with the ginger, garlic, chiles to taste and all the spices for 3 minutes.","heat,saute"
2104d65757,"Add the pumpkin and continue to saute for 3 more minutes, then spoon into the cooking pot and stir in the drained beans.","add,saute,spoon,stir"
2104d65757,Heat the stock to boiling and pour over the vegetables and beans.,"heat,boiling,pour"
2104d65757,"Cover, reduce temperature to low, then cook for 8 to 10 hours.","cover,reduce,cook"
2104d65757,"Just before serving, stir in the tomatoes and spinach, stir well and continue to cook for 15 to 20 minutes or until the spinach has begun to wilt.","stir,stir,cook"
2104d65757,Sprinkle with the diced feta cheese and the freshly chopped coriander and serve with sour cream or yoghurt and strips of warm pita bread.,"sprinkle,serve"
0c0bef0a2b,"Cook peaches, sugar, cornstarch and water on stove until thick.",cook
0c0bef0a2b,Place in baking dish.,place
0c0bef0a2b,"Mix Bisquick, sugar, melted butter, and milk.",mix
0c0bef0a2b,Drop on top of peach mixture.,drop
0c0bef0a2b,Bake 20-25 minutes at 375 degrees.,bake
0c0bef0a2b,Serve warm with ice cream or whipped cream.,serve
ed44afe831,Mix together the first six ingredients.,mix
ed44afe831,"In another bowl, throughly stir together the eggs, bananas, melted butter, milk and flavoring.",stir
ed44afe831,Stir wet ingredients into dry until just moistened.,stir
ed44afe831,Pour into greased loaf pan or 9x9 pan.,pour
ed44afe831,Sprinkle top with walnuts.,sprinkle
ed44afe831,"Bake at 350, if using loaf pan will take longer, around 40-55 minutes.",bake
ed44afe831,9x9 will take about 25-35 minutes.,none
ed44afe831,Keep a eye on it and check with a knife to see if done.,"keep a eye,check"
ed44afe831,"If top starts browning too early, cover with foil.",cover
ed44afe831,Sometimes we stirred extra walnuts into the batter.,stirred
d823ec6b26,Heat a pan.,heat
d823ec6b26,"Mix the milk, flour and eggs.",mix
d823ec6b26,Heat 1/4 tsp butter in the pan.,heat
d823ec6b26,Put a small amount of the mixture (the size of an espresso cup or 1/4 a normal cup) in the pan and cook until the mixture is solid and gets a light brownish color then flip it and cook until the other side gets the same color then immediately remove crepe from heat.,"put,cook,flip it,cook,remove"
d823ec6b26,Repeat process (each time adding 1/4 tsp butter to the pan before cooking the mixture).,repeat
1720a8b219,Preheat the oven to 350F.,preheat
1720a8b219,"Line a 9"" square pan with the pastry.",line
1720a8b219,(Not up the sides- just the bottom.),none
1720a8b219,You may wish to line the bottom of the tin with parchment paper first.,line
1720a8b219,Spread the jam over the pastry.,spread
1720a8b219,Cream the butter and sugar.,cream
1720a8b219,Beat in the eggs and almond extract.,beat
1720a8b219,Mix in the salt and rice flour.,mix
1720a8b219,"Scrape the batter over the jam, and spread it out carefully and evenly.","scrape,spread"
1720a8b219,Bake at 350F for 30 minutes.,bake
1720a8b219,Let cool.,cool
1720a8b219,"Cream the remaining butter, and beat in the icing sugar and almond extract.","cream,beat"
1720a8b219,Thin with a little milk until a good spreading consistency is reached,thin
1720a8b219,about a tablespoon or so should do it.,none
1720a8b219,"Spread the icing over the squares, then cut them and remove them from the pan.","spread,cut,remove"
7f520ba9b2,Heat the oven to 400 F.,heat
7f520ba9b2,Spread almonds on a baking sheet and roast in the oven for 5 minutes or until they look a little puffed out.,"spread,roast"
7f520ba9b2,Remove pan from the oven and allow almonds to cool just a bit.,"remove,allow"
7f520ba9b2,Roughly chop almonds using a knife or pulse them in a food processor.,"roughly chop,pulse"
7f520ba9b2,Set aside.,set aside
7f520ba9b2,Lower the oven temperature to 350 F.,lower
7f520ba9b2,"In a mixing bowl or in the bowl of your stand mixer, cream together the sugars and butter.",cream
7f520ba9b2,"Add the egg, vanilla extract and almond extract and mix just until combined.","add,mix"
7f520ba9b2,"In a separate bowl, whisk together the flour, baking soda, salt and cardamom.",whisk
7f520ba9b2,Slowly add the flour mixture to the egg/butter/sugar mixture and mix until combined.,"slowly add,mix"
7f520ba9b2,Fold in the white chocolate chips and roasted almonds.,fold
7f520ba9b2,Optional: Allow dough to sit for 15 minutes.,"allow,sit"
7f520ba9b2,"I do this with all of my dough (and pancake batter), but you dont need to do this if youre in a hurry.",none
7f520ba9b2,Form dough into your preferred size of balls and place on a lightly oiled or parchment-lined baking sheet with 2 inches in between.,"form,place"
7f520ba9b2,Bake for for 11-13 minutes.,bake
7f520ba9b2,Makes 30 medium-sized cookies.,makes
cdd6fb2dc9,Get one big bowl and one small bowl out.,get
cdd6fb2dc9,Mix all of the dry ingredients in the big bowl.,mix
cdd6fb2dc9,Mix all of the wet ingredients in the small bowl.,mix
cdd6fb2dc9,"Melt the butter, then mix it inches.","melt,mix"
cdd6fb2dc9,Pour the wet ingredients into the dry ones.,pour
cdd6fb2dc9,Mix it till it is evenly mixed.,mix
cdd6fb2dc9,"Do not mix to much, then it gets all watery and disgusting.",mix
cdd6fb2dc9,Pour 1/2 cup of batter on a pan.,pour
bdb8e083f2,Preheat your oven to 500F.,preheat
bdb8e083f2,Generously coat a half-sheet pan with olive oil.,generously coat
bdb8e083f2,"If you think its too much, youll probably need more.",none
bdb8e083f2,Youre trying to prevent the pizza from sticking.,trying
bdb8e083f2,Stretch your dough to fit the pan.,stretch
bdb8e083f2,Pretty much any dough recipe will work here.,none
bdb8e083f2,I am particularly fond of Jim Laheys pizza recipe.,none
bdb8e083f2,It is easy (no kneading) and delicious.,none
bdb8e083f2,Smear the pesto all over the dough with your fingers.,smear
bdb8e083f2,Sprinkle the artichokes over the top.,sprinkle
bdb8e083f2,They are so yummy and I heart artichokes 4 ever!,none
bdb8e083f2,"Tomatoes are next, followed by the black olives, then the feta.",none
bdb8e083f2,"Sprinkle the parmesan, the garlic salt, and the oregano all over the top.",sprinkle
bdb8e083f2,Isnt it pretty?,none
bdb8e083f2,Bake for 1/2 hour.,bake
bdb8e083f2,"( If your oven is small, you might consider covering the pizza with aluminum foil for the first fifteen minutes).",none
bdb8e083f2,Take your masterpiece out of the oven and drizzle a little olive oil over the top.,"take,drizzle"
bdb8e083f2,Transfer to a cutting board and serve with freshly grated parmesan and red pepper flakes.,"transfer,serve"
bdb8e083f2,I love this cold for breakfast!,none
80aa578f1b,Roll out the pastry and line a 24cm to 26cm tart or quiche dish.,roll out
80aa578f1b,"Bake blind in a pre-heated oven 180C/350F/gas 4, for about 7-10 mins, or until lightly golden brown and slightly crisp.",bake
80aa578f1b,"Whisk the lemon juice, creme fraiche, sugar and eggs in a large bowl.",whisk
80aa578f1b,Add the grated lemon rind & mix well.,"add,mix"
80aa578f1b,"Carefully pour the mixture into the pastry case and bake for 40 minutes or so, until the custard has set but is still slightly wobbly.","pour,bake"
80aa578f1b,Sprinkle liberally with icing sugar.,sprinkle
80aa578f1b,"Serve slightly warm or at room temperature, with a drizzle of cassis and a sprig of mint.","serve,drizzle"
80aa578f1b,You can also serve this with a bowl of creme fraiche or cream.,seve
ae1c345497,"Mix fruit cocktail, flour, sugar, eggs, salt and baking soda.",mix
ae1c345497,"Pour into a greased 9x13"" pan.",pour
ae1c345497,Bake for 45-50 minutes at 350 degrees.,bake
ae1c345497,While the cake is cooking make the icing.,make
ae1c345497,"Boil for 2 minutes the sugar, margarine and milk.",boil
ae1c345497,Remove from heat and add the coconut and vanilla.,"remove,add"
ae1c345497,Frost the cake while it is hot.,frost
e51c553cc6,Preheat oven to 350F,preehat
e51c553cc6,"In large bowl, beat shortening and sugars until creamy.",beat
e51c553cc6,Add eggs and vanilla.,add
e51c553cc6,Beat well.,beat
e51c553cc6,"Add flour, baking soda, cinnamon and salt.",add
e51c553cc6,Mix well.,mix
e51c553cc6,"Add oats, cherries, and pecans.",add
e51c553cc6,Mix well.,mix
e51c553cc6,Spread mixture in an ungreased 9 x 13 metal baking pan.,spread
e51c553cc6,Bake 30 to 35 minutes or until a toothpick comes out clean.,bake
e51c553cc6,Cool for 15 to 30 minutes before cutting into bars.,cool
e51c553cc6,Store tightly covered.,store
2f979b1993,"Prepare cupcakes according to your cake mix package directions (the amount of eggs, oil and water that Ive included in the above list are the amounts that my Pillsbury mix requireduse whatever additional ingredients are specified on your box mix).",prepare
2f979b1993,Bake them and let them cool.,bake
2f979b1993,For the frosting: Whisk the milk and flour together and heat in a saucepan on medium heat.,"whisk,heat"
2f979b1993,"Whisk constantly, it will begin to thicken and reach the consistency of mashed potatoes (after a little more than 5 minutes).",whisk
2f979b1993,Then remove pan from heat and let it cool completely.,"remove,cool"
2f979b1993,"In a large bowl using an electric mixer or stand mixer, beat the butter and sugar together thoroughly until completely combined.",beat
2f979b1993,It will be fluffy and light (takes about 3-4 minutes of mixing).,none
2f979b1993,Add the vanilla and the cooled milk/flour mixture and blend for about 1 minute on high.,"add,blend"
2f979b1993,Stir around to ensure its thoroughly combined.,stir
2f979b1993,Frost cupcakes using your preferred method.,frost
2f979b1993,"Place in the refrigerator or freezer to cool them a bit, as the next step will be to drizzle warm caramel on top.","place,drizzle"
2f979b1993,Unwrap the caramel candies.,unwrap
2f979b1993,Heat caramel in a small saucepan on low heat.,heat
2f979b1993,"Once its melted, remove pan from heat.","melted,remove"
2f979b1993,Use a fork and gather some caramel on it and drizzle on top of each cupcake.,"gather,drizzle"
2f979b1993,Sprinkle the top of each with a pinch of sea salt and about 5 pieces of caramel corn,sprinkle
2f979b1993,Dessert is served!,none
45f2fe77c5,"To make Salad: Drain and rinse lentils, then place in a medium stockpot with 1 cup water.","drain,place"
45f2fe77c5,"Bring to a boil, reduce heat to medium-low, and simmer 18 minutes.","boil,simmer"
45f2fe77c5,"Add broccoli, cover pan, and steam 2 to 3 minutes, or until broccoli and lentils are al dente.",add
45f2fe77c5,"Meanwhile, to make Honey-Mustard Dressing: whisk together all ingredients in bowl until smooth.",whisk
45f2fe77c5,"Drain off any remaining liquid from broccoli and lentils, and transfer to large bowl.","drain,transfer"
45f2fe77c5,"Add dressing, and toss to coat.",add
45f2fe77c5,"Season with salt and pepper, if desired.",season
45f2fe77c5,Serve garnished with onion and almonds.,serve
cf56917ac3,STIR milk and pudding mix in medium bowl with large spoon just until pudding mix is moistened.,stir
cf56917ac3,Immediately add bananas and cake crumbs,add
cf56917ac3,mix well.,mix
cf56917ac3,TO PORTION CAKE BALLS Use cookie scoop to portion the cake mixture for each ball.,none
cf56917ac3,"Then, roll the cake balls between the palms of your hands to form smooth round balls.",roll
cf56917ac3,SHAPE into 36 (1-inch) balls,shape
cf56917ac3,place on waxed paper-covered rimmed baking sheet.,place
cf56917ac3,Freeze 1 hour.,freeze
cf56917ac3,"MELT chocolate in medium microwaveable bowl on HIGH 1-1/2 min., stirring after 1 minute","melt,stirring"
cf56917ac3,TO EASILY COAT THE CAKE BALLS Remove inner tines of disposable fork,remove
cf56917ac3,set aside.,set aside
cf56917ac3,"Add cake balls, in batches, to bowl of melted chocolate.",add
cf56917ac3,Use spoon or rubber scraper to evenly coat balls with chocolate.,evenly coat
cf56917ac3,Remove balls with prepared fork.,remove
cf56917ac3,"If you are using lollipop or Popsicle stick, just skewer each pop before dipping.",skewer
cf56917ac3,Dip balls in chocolate,dip
cf56917ac3,return to baking sheet.,return
cf56917ac3,Top immediately with sprinkles or whatever you are using.,top
cf56917ac3,Let stand until coating is firm.,stand
9bf206dbe5,"Mix flour, sugar, baking powder and lemon peel in large bowl",mix
9bf206dbe5,set aside.,set aside
9bf206dbe5,"Blend egg substitute, milk and 1/3 cup melted margarine or butter.",blend
9bf206dbe5,Stir into dry ingredients just until blended,stir
9bf206dbe5,gently stir in blueberries.,gently stir
9bf206dbe5,Fill 12 greased 2-1/2-inch muffin-pan cups.,fill
9bf206dbe5,Bake at 400F for 15 to 18 minutes or until done.,bake
9bf206dbe5,Dip tops of warm muffins in remaining melted margarine or butter.,dip
9bf206dbe5,Serve warm.,serve
3ab3151227,"In a large saucepan of salted boiling water, cook the corn until crisp-tender, 3 to 5 minutes.","boiling,cook"
3ab3151227,"Transfer to a plate and let cool completely, then cut the kernels off the cobs.","transfer,cool,cut"
3ab3151227,"In a large bowl, beat the egg with the water.",beat
3ab3151227,"Sift the flour, salt and baking powder over the egg and whisk until a batter forms.","sift,whisk"
3ab3151227,Stir in the corn kernels and scallions.,stir
3ab3151227,"In a large nonstick skillet, heat the 1/4 cup of canola oil until shimmering.",heat
3ab3151227,"Spoon a scant 1/4 cup of the batter into the skillet for each pancake and cook over moderate heat until browned on the bottom, 1 to 2 minutes.","spoon,cook"
3ab3151227,Flip the cakes and top each with a piece of cheese.,"flip,top"
3ab3151227,"Cook until the cheese just starts to melt and the corn cakes are cooked through, about 2 minutes longer.",cook
3ab3151227,Transfer the corn cakes to a serving platter and season with black pepper.,"transer,s eason"
3ab3151227,Repeat with the remaining batter.,repeat
3ab3151227,Serve warm.,serve
5a6235ad1b,"Divide cherries, mint leaves and sugar among 4 glasses.",divide
5a6235ad1b,Mash everything together with the back of a wooden spoon.,mash
5a6235ad1b,Stir in rum and lime juice.,stir
5a6235ad1b,Fill glasses with ice and top with seltzer.,"fill,top"
5a6235ad1b,Garnish with mint sprigs.,garnish
aaec48ff71,Place oil in saucepan and heat over moderate heat.,"place,heat"
aaec48ff71,Add onions and celery and cook and stir until onions are soft but not browned.,"add,stir"
aaec48ff71,Add flour and cook until flour is absorbed by vegetables.,"add,cook"
aaec48ff71,"Add tomato juice, salt, and pepper and cook until slightly thickened and smooth.","add,cook"
aaec48ff71,Drain beans well.,drain
aaec48ff71,Add to hot sauce and simmer 2 minutes.,"add,simmer"
aaec48ff71,Serve hot.,serve
c4ef67eca1,HEAT dressing in large frypan on medium-high heat,heat
c4ef67eca1,add onion and celery,add
c4ef67eca1,stir-fry 2 to 3 minutes.,stir-fry
c4ef67eca1,ADD remaining ingredients,add
c4ef67eca1,stir-fry 1 to 2 minutes more.,stir-fry
c4ef67eca1,Serve over rice.,serve
cf50f8cb47,"In saucepan over medium heat, warm oil.",warm
cf50f8cb47,Add onion and garlic,add
cf50f8cb47,saute until soft.,saute
cf50f8cb47,"Add pureed tomatoes, tomato sauce, herbs, sugar, salt, and pepper.",add
cf50f8cb47,"Simmer, uncovered, stirring occasionally 10- 15 minutes.","simmer,stirring"
c59d7adc08,Heat the oil in a large saucepan.,heat
c59d7adc08,"Saute the green onion whites, red pepper, chilli paste and garlic for 5-8 minutes until soft and fragrant.",saute
c59d7adc08,"Add the thyme, curry powder and allspice, then cook for 1 minute more,","add,cook"
c59d7adc08,"Stir in the tomatoes, then cook for 2 minutes to soften slightly.","stir,cook"
c59d7adc08,"Crumble in the stock cube, then add in all the beans and the coconut milk.","crumble in,add"
c59d7adc08,"Simmer for 10 minutes Turn off the heat and stir in most of the green onion greens, the lime juice and salt and pepper.","simmer,turn off,stir"
c59d7adc08,Ladle into bowls and garnish with remaining green onion just before serving.,"ladle,garnish"
a7c84de4dd,"Put all the ingredients at the mixer , mix them very well .","put,mix"
a7c84de4dd,Heat a heavy griddle with a little butter or oil .,heat
a7c84de4dd,The pan is hot enough when a drop or water breaks into several smaller balls around the pan .,none
a7c84de4dd,Pour a small amount of batter into pan and tip to spread out or spread with spoon .,"pour,spread"
a7c84de4dd,"When bubbles appear on surface and begin to break , turn over and cook the other side ,.","turn over,cook"
a7c84de4dd,"when submitting the dish put a little honey , Health and Fitness .",put
66bb07024e,"Drain lentils and place in pot with 3 1/2 cups of water, no seasoning.","drain,place"
66bb07024e,"Bring to a boil, cover pot almost completely and simmer for 35-40 mins, until lentils are soft but still hold their shape.","boil,cover,simmer"
66bb07024e,"If using a pressure cooker, cook for 10-12 mins on med-high heat.",none
66bb07024e,Boil 3 cups of water.,boil
66bb07024e,For bulgur: place in small pot and add oil and bouillon if using.,"place,add"
66bb07024e,"Pour boiling water over bulgur, place on stove and bring to a boil.","pour,place,boil"
66bb07024e,Let boil for 30 seconds.,boil
66bb07024e,"Lightly mix the bulgur, turn heat off, cover well and let stand for ten minutes.","mix,turn off,cover,stand"
66bb07024e,"For quinoa: place in pot, add oil and bouillon if using.","place,add"
66bb07024e,"Pour boiling water over quinoa, place on med-high heat and bring to a boil.","pour,place,boil"
66bb07024e,"Cook uncovered at a soft rolling boil for 10-15 minutes, until soft and chewy.",cook
66bb07024e,"While lentils and bulgur cook, finely dice tomato and onion.",finely dice
66bb07024e,Set aside.,set aside
66bb07024e,"When lentils are cooked, rinse in a colander/sieve, and once water runs clear, set aside for 2 minutes to let the water drain out.","rinse,set aside"
66bb07024e,"Do the same with the bulgur/quinoa, using less water and rinsing gently.",none
66bb07024e,In a large bowl combine all prepared ingredients.,combine
66bb07024e,Add salt and pepper and mix well.,"add,mix"
66bb07024e,"You can eat straight away, though the salad tastes best if allowed to rest in the fridge first for an hour or two.","eat,sit"
8ac81e3f7d,Preheat the oven to 350F (180C).,preheat
8ac81e3f7d,Tear the croissants into pieces and put in a small gratin dish,"tear,put"
8ac81e3f7d,I use a cast iron oval with a capacity of about 500ml/ 2 cups for this.,none
8ac81e3f7d,"Put the sugar and water into a saucepan, and swirl around to help dissolve the sugar before putting the saucepan on the hob over medium to high heat.","put,swirl"
8ac81e3f7d,Caramelize the sugar and water mixture by letting it bubble away until it all turns a deep amber colour,caramelize
8ac81e3f7d,this will take 3 to 5 minutes.,none
8ac81e3f7d,Keep looking but don't be too timid.,none
8ac81e3f7d,Take the pan off the heat and add the cream - ignoring all spluttering - followed by the bourbon and milk.,"take,add"
8ac81e3f7d,"Whisk to mix, then still whisking add the beaten eggs.","whisk,add"
8ac81e3f7d,Pour this quickly over the croissants and leave to steep for 10 minutes.,"pour,leave"
8ac81e3f7d,Place in the preheated oven for 20 minutes and prepare to swoon.,"place,swoon"
9e71815b3e,"In a large pot over medium heat, bring veggie stock, water, and tomato sauce to simmer.",simmer
9e71815b3e,"Add celery, carrots, and onion.",add
9e71815b3e,Cover the pot and let it simmer for 10 minutes.,"cover,simmer"
9e71815b3e,"You may allow it to come to a low boil, but no higher.",low boil
9e71815b3e,Reduce the heat if needed.,reduce heat
9e71815b3e,"After 10 minutes of simmering add spices, diced tomatoes and green chilies and corn.","simmering,add"
9e71815b3e,"Cover and let it cook at a low boil until all veggies are almost tender to your liking, stirring occasionally.","cover,cook,stirring"
9e71815b3e,This will take only a few minute longer.,none
9e71815b3e,Then add beans and reduce to a simmer until everything is heated through.,"add,simmer"
9e71815b3e,"All in all, it should take about an hour of simmering.",simmering
9e71815b3e,Serve immediately.,serve
e2c4f21c2f,Dipping Sauce:.,none
e2c4f21c2f,Add all the sipping sauce ingredients to a pot on a low temperature.,add
e2c4f21c2f,"Heat for 10 minutes, making sure you stir ingredients every few minutes.","heat,stir"
e2c4f21c2f,"In a large, heavy pot, heat 2-inches of the peanut oil to 325degrees f. Or use a deep fryer.",heat
e2c4f21c2f,"Meanwhile in a large bowl, whisk together the flour, salt, and baking powder.",whisk
e2c4f21c2f,Add the water and whisk until smooth.,"add,whisk"
e2c4f21c2f,Let the batter stand for 15 minutes.,stand
e2c4f21c2f,"In a wide shallow bowl, toss the coconut and bread crumbs together.",toss
e2c4f21c2f,Put the shrimp into the batter.,put
e2c4f21c2f,"Remove the shrimp, 1 at a time, and dredge in the coconut mixture, pressing to help the cocnut adhere.","remove,dredge,pressing"
e2c4f21c2f,Fry the shrimp in batches in the hot oil for 1 to 2 minutes or until brown.,fry
e2c4f21c2f,Use a slotted spoon to transfer the shrimp to a baking sheet lined with paper towels.,transfer
e2c4f21c2f,Serve the shrimp with the dipping sauce.,serve
40ce098ae8,add onions and 3/4 pint of stock and boil for ten minutes,"add,boil"
40ce098ae8,reduce down and cook for 20 minutes,"reduce,cook"
40ce098ae8,add all spices plus garlic and heat for 3-4 minutes.,"add,heat"
40ce098ae8,"add beef and remaining stock, cover and cook for 20 minutes.","add,cover,cook"
40ce098ae8,"add 4 tbsp of yoghurt and stir, gradually mix in rest of yoghurt.","add,stir,mix"
b47af88b03,Cut chicken in to small bite sized strips.,cut
b47af88b03,Place cornstarch in a bowl that has a tight fitting lid.,place
b47af88b03,"Add the chicken to the cornstarch and cover, give it a shake to completely coat the chicken in the cornstarch.","add,cover,shake,coat"
b47af88b03,Place enough canola oil to coat the bottom of your skillet ( I used a non stick pan) about 4 tablespoons or so.,"place,coat"
b47af88b03,Heat the oil over medium heat.,heat
b47af88b03,Take a small pinch of the cornstarch and sprinkle it on the oil.,"take,sprinkle"
b47af88b03,"If it sizzles, its ready.",sizzle
b47af88b03,In two batches fry the chicken in one layer until browned on both sides and fully cooked through.,fry
b47af88b03,When its done place it on a paper towel lined plate to cool.,place
b47af88b03,Discard any remaining oil left in the pan after frying the chicken.,"discard,frying"
b47af88b03,Return the skillet to the heat.,heat
b47af88b03,"Combine the soy sauce, water, rice vinegar, and sugar in a pourable measuring cup, stir to combine.","combine,stir"
b47af88b03,"Pour in the skillet and cook till the mixture is thick and syrupy, about 5 minutes.","pour,cook"
b47af88b03,Remove from heat and add the cooked chicken and toss to coat the chicken completely with the sauce.,"remove,toss,coat"
b47af88b03,Serve over white rice and ENJOY!,serve
2a552c158e,"Preheat the oven to 425 F. Remove the giblets, rinse the chicken and pat it dry.","preheat,remove,rinse,pat"
2a552c158e,"Season the chicken liberally with salt and fresh ground pepper, both inside the cavity and out.",season
2a552c158e,"Cut the lemon in half, stuff it in the cavity together with the celery rib (recipes often ask you to tie up the chicken but I was out of twine and it turned out OK).","cut,stuff"
2a552c158e,"Chop up the carrots, potato, and the onion.",chop
2a552c158e,Slice the asparagus spears in half and layer all vegetables on the bottom of a baking dish.,"slice,layer"
2a552c158e,"Put the chicken on top of the vegetables (you can coat them with olive oil but I did not even bother), breast side up.",put
2a552c158e,Roast the chicken in the preheated oven for 15 minutes.,"roast,preheated"
2a552c158e,Reduce the temperature to 350 F and roast for another hour.,"reduce,roast"
2a552c158e,(I made a pan of muffins at the same time.),none
2a552c158e,"After an hour, increase the temperature to 375 F and roast for 15 minutes to finish off.","increase,roast"
2a552c158e,"Remove from oven, allow it to sit for a few minutes before carving, then carve and serve.","remove,sit,carve,serve"
3d60de7714,Heat oil in a large pan.,heat
3d60de7714,"Once hot, add onion, garlic and spices, and cook until onions are translucent.","add,cook"
3d60de7714,"Add beef and bacon and cook until brown, making sure that any large clumps have been broken down.","add,cook"
3d60de7714,"Add peas, gravy powder and chicken stock and let simmer for about 7 minutes until a thick sauce has been made.","add,simmer"
3d60de7714,Let cool.,cool
3d60de7714,"While waiting for the filling to cool, roll out the puff pastry and cut into rounds a little bit bigger than the tart shells (the pastry will shrink as it cooks).","cool,roll out,cut"
3d60de7714,Preheat an oven to 400&deg,preheat
3d60de7714,"F Place the tart shells on a non-stick cookie sheet and fill with the meat mixture Place your pre-cut puff pastry round on top and brush it with a little egg wash. Place in the oven and cook for about 20 minutes, until the top has puffed up and turned golden brown.","fill,palce,brush,place,cook"
3d60de7714,Take out of the oven and let sit for 5 minutes before serving.,"take out,sit,serving"
3d60de7714,(This will ensure the gravy isn't too hot.,none
3d60de7714,).,none
